אָב	father
אָבוֹת	fathers
אֲבוֹתֵינוּ	our fathers
אָהַב	loved	m.
אֵל	god
אֱלֹהִים	God, gods
אֵם	mother
אִמָּהוֹת	mothers
אִמֹּתֵינוּ	our mothers
אָמַר	said	m.
אֶרֶץ	land
אַתָּה	you	m.
בַּיִת	house
בָּרוּךְ	blessed
גַדוֹל	big, great
דוֹר	generation
הוּא	he
הִיא	she
הָיָה	was
חַיִּים	life
חֶסֶד	kindness
טוֹב	good
יוֹם	day
יִשְׂרָאֵל	Israel
כֹּל	all, every
לֹא	no
לְעוֹלָם	forever
לִפְנֵי	before, in front of
מֶלֶךְ	king
מָלַךְ	ruled	m.
נוֹרָא	awesome
נָתַן	gave	m.
עוֹלָם	world, eternity
עַל	on
עַם	people, nation
עָשָׂה	did, made
קֹדֶשׁ	holy
רַחֲמִים	mercy
שֵׁם	name
אֶת	definite direct object marker
כִּי	because, that
לִי	to me, for me
לְךָ	to you, for you
לוֹ	to him, for him
אָדָם	man, Adam
אַהֲבָה	love
אוֹר	light
אֶחָד	one
אֵין	there is no
אִמְרוּ	let us say
אֱמֶת	truth
אֲשֶׁר	that, which who
בֵּית	house of
בֶּן	son
בְּנֵי	children
וָעֶד	and ever
זְמַן	time
יְהִי	may it be
כָּבוֹד	honour, respect
כָּמוֹךָ	like you
כֵּן	yes
כָּתוּב	written
לְמַעַן	for the sake of
לְפָנֶיךָ	before you
מָגֵן	shield
מַה	what
מְחַיֵּה	gives life
מִי	who
מַיִם	water
עוֹשֶׂה	make, do
קָדוֹשׁ	holy
קוֹל	voice
רָצוֹן	will
שְׁמוֹ	His name
שָׁמַים	heavens
תָמִיד	always
